id,colser_id,container_type,container_number,folder_number,folder_title,folder_title_japanese,production_date,sequence_no,item_id,subjecttype_id,language,no_of_duplicates,notes_on_original_container,item_descriptions,item_date,notes,physical_descriptions,dimensions,av_specifications,separated_material
56,26,Manuscript Box,112,506,October 1971,"",1971/10/10-1971/10/24,8009,19711010NA,14,English,"","","Hironaga Shūzaburō, """"Bunraku: Aioidayu's Last Stage Superb"""" [n.p.]",[n.d.],"",Photocopy,"","",""
57,24,Manuscript Box,85,186,October 1971,"",1971/10/10-1971/10/24,7045,19711010PEJ,1,English/Japanese,"","","","","","","","",""
58,24,Manuscript Box,85,186,October 1971,"",1971/10/10-1971/10/24,7046,19711010Y,6,Japanese,"","","","","","","","",""
60,24,Manuscript Box,85,187,November 1971,"",1971/11/14-1971/11/28,7047,19711114FJ,4,Japanese,"","","","","","","","",""
61,26,Manuscript Box,112,507,November 1971,"",1971/11/14-1971/11/28,8011,19711114NA1,14,English,"","","Nagata Kōkichi, """"Bunraku Program Marks Nat'l Theatre Anniversary"""" in Asahi Shinbun",12 Nov. 1971,"",Photocopy,"","",""
62,26,Manuscript Box,112,507,November 1971,"",1971/11/14-1971/11/28,8012,19711114NA2,14,English,"","","""""Bunraku Puppet Theater Seen in Mishim Drama"""" (by Y.Y.) [n.p.]",[n.d.],"",Photocopy,"","",""
63,24,Manuscript Box,85,187,November 1971,"",1971/11/14-1971/11/28,7048,19711114PE,2,English,"","","","","","","","",""
64,24,Manuscript Box,85,187,November 1971,"",1971/11/14-1971/11/28,7049,19711114PJ,1,Japanese,"","","","","","","","",""
67,24,Manuscript Box,85,188,January 1972,"",1972/01/02-1972/01/21,7050,19720102PEJ,3,English/Japanese,"","","","","","","","",""
68,24,Manuscript Box,85,188,January 1972,"",1972/01/02-1972/01/21,7051,19720102Y,6,Japanese,"","","","","","","","",""
69,24,Manuscript Box,85,189,February 1972,"",1972/02/06-1972/02/20,7052,19720206FJ,4,Japanese,"","","","","","","","",""
70,24,Manuscript Box,85,189,February 1972,"",1972/02/06-1972/02/20,7053,19720206PE,2,English,"","","","","","","","",""
71,24,Manuscript Box,85,189,February 1972,"",1972/02/06-1972/02/20,7054,19720206PJ,1,Japanese,"","","","","","","","",""
73,24,Manuscript Box,85,190,April 1972,"",1972/04/15-1972/04/27,7055,19720415PEJ,3,English/Japanese,"","","","","","","","",""
74,24,Manuscript Box,85,190,April 1972,"",1972/04/15-1972/04/27,7056,19720415Y,6,Japanese,"","","","","","","","",""
76,26,Manuscript Box,112,508,May 1972,"",1972/05/14-1972/05/28,8013,19720514NA,14,English,"","","Nagata Kōkichi, """"Nat'l Theatre to Present 'Sugawara Denju' Classic"""" [n.p.]",[n.d.],"",Photocopy,"","",""
77,24,Manuscript Box,85,191,May 1972,"",1972/05/14-1972/05/28,7057,19720514PE,2,English,"","","","","","","","",""
78,24,Manuscript Box,85,191,May 1972,"",1972/05/14-1972/05/28,7058,19720514PJ,1,Japanese,"","","","","","","","",""
79,24,Manuscript Box,85,191,May 1972,"",1972/05/14-1972/05/28,7059,19720514Y,6,Japanese,"","","","","","","","",""
80,26,Manuscript Box,112,509,July 1972,"",1972/07/16-1972/07/27,8014,19720716AT,19,Japanese,1,"",Date stamped,25 July 1972,"","","","",""
81,26,Manuscript Box,112,509,July 1972,"",1972/07/16-1972/07/27,8015,19720716NA,14,English,"","","Hironaga Shūzaburō, """"Bunraku Special Show at Asahiza"""" [n.p.]",[n.d.],"",Photocopy,"","",""
82,24,Manuscript Box,85,192,July 1972,"",1972/07/16-1972/07/27,7060,19720716PEJ,3,English/Japanese,"","","","","","","","",""
83,26,Manuscript Box,112,510,September 1972,"",1972/09/10-1972/09/24,8016,19720910AT,19,Japanese,"","",Date stamped,11 Sept. 1972,"","","","",""
84,26,Manuscript Box,112,510,September 1972,"",1972/09/10-1972/09/24,8017,19720910NA,14,English,"","","Nagata Kōkichi, """"National Theatre Offers Two Tragic Bunraku Plays"""" [n.p.]",[n.d.],"",Photocopy,"","",""
85,24,Manuscript Box,85,193,September 1972,"",1972/09/10-1972/09/24,7061,19720910PE,2,English,"","","","","","","","",""
86,24,Manuscript Box,85,193,September 1972,"",1972/09/10-1972/09/24,7062,19720910PJ,1,Japanese,"","","","","","","","",""
87,24,Manuscript Box,85,193,September 1972,"",1972/09/10-1972/09/24,7063,19720910Y,6,Japanese,"","","","","","","","",""
88,24,Manuscript Box,85,194,"September 1972, Bunraku Kanshō Kyōshitsu","",1972/09/10-1972/09/04,7064,19720926FE,5,English,"","","","","","","","",""
89,24,Manuscript Box,85,194,"September 1972, Bunraku Kanshō Kyōshitsu","",1972/09/10-1972/09/04,7065,19720926FJ,4,Japanese,"","","","","","","","",""
90,26,Manuscript Box,112,511,October 1972,"",1972/10/17-1972/10/22,8018,19721007BN1,13,English,"","","List of """"The League of the 47 Ronin"""" (Kanadehon Chūshingura) scene titles","","",2 pages,"","",""
91,26,Manuscript Box,112,511,October 1972,"",1972/10/17-1972/10/22,8019,19721007BN2,13,English,"","","List of """"The League of the 47 Ronin"""" (Kanadehon Chūshingura) character names","","",1 page,"","",""
92,24,Manuscript Box,85,195,October 1972,"",1972/10/17-1972/10/22,7066,19721007NPC,26,English,"","",National Theatre Postcard on Geza Music,[n.d.],"","","","",""
93,24,Manuscript Box,85,195,October 1972,"",1972/10/17-1972/10/22,7067,19721007PEJ,3,English/Japanese,"","","","","","","","",""
94,24,Manuscript Box,85,195,October 1972,"",1972/10/17-1972/10/22,7068,19721007Y,6,Japanese,"","","","","","","","",""
95,26,Manuscript Box,112,512,November 1972,"",1072/11/12-1972/11/19,8020,19721112NA,14,English,"","","Nagata Kōkichi, """"Young Performers Dominate Nat'l Theater Bunraku Bill"""" [n.p.]",[n.d.],"",Photocopy,"","",""
96,24,Manuscript Box,85,196,November 1972,"",1972/11/12-1972/11/19,7069,19721112PE,2,English,"","","","","","","","",""
97,24,Manuscript Box,85,197,January 1973,"",1973/01/02-1973/01/23,7070,19730102PEJ,3,English/Japanese,"","","","","","","","",""
98,24,Manuscript Box,85,197,January 1973,"",1973/01/02-1973/01/23,7071,19730102Y,6,Japanese,"","","","","","","","",""
100,24,Manuscript Box,85,200,"February/March 1973, Tour","",1973/02/n.d.-1973/03/n.d.,7079,197303PJ,1,Japanese,"","","","","","","","",""
101,24,Manuscript Box,85,198,February 1973,"",1973/02/04-1973/02/18,7072,19730204FE,5,English,"","","","","","","","",""
102,24,Manuscript Box,85,198,February 1973,"",1973/02/04-1973/02/18,7073,19730204FJ,4,Japanese,1,"","","","","","","",""
103,26,Manuscript Box,112,513,February 1973,"",1973/02/04-1973/02/18,8021,19730204NA,14,English,"","","Nagata Kōkichi, """"Long Bunraku Play Staged In Full at Nationl Theatre"""" [n.p.]",[n.d.],"",Photocopy,"","",""
104,24,Manuscript Box,85,198,February 1973,"",1973/02/04-1973/02/18,7074,19730204PE,2,English,"","","","","","","","",""
105,24,Manuscript Box,85,198,February 1973,"",1973/02/04-1973/02/18,7075,19730204PJ,1,Japanese,"","","","","","","","",""
106,24,Manuscript Box,85,198,February 1973,"",1973/02/04-1973/02/18,7076,19730204Y,6,Japanese,"","","","","","","","",""
107,24,Manuscript Box,86,201,April 1973,"",1973/04/25-1973/05/06,7080,19730425PEJ,3,English/Japanese,"","","","","","","","",""
108,24,Manuscript Box,86,201,April 1973,"",1973/04/25-1973/05/06,7081,19730425Y,6,Japanese,"","","","","","","","",""
109,24,Manuscript Box,86,202,"May 1973, Shibonu omokage Kizaemon no kai","","1973/05/07, 1973/05/28",7082,19730507FJ,4,Japanese,"","","","","","","","",""
110,24,Manuscript Box,86,202,"May 1973, Shibonu omokage Kizaemon no kai","","1973/05/07, 1973/05/28",7083,19730507PJ,1,Japanese,"","","","","","","","",""
111,24,Manuscript Box,86,203,May 1973,"",1973/05/13-1973/05/27,7084,19730513FJ,4,Japanese,2,"","","","","","","",""
112,26,Manuscript Box,112,514,May 1973,"",1973/05/13-1973/05/27,8022,19730513NA,14,English,"","","Nagata Kōkichi, """"Nat'l Theatre Bunraku Bill Commemorates Chikamatsu"""" [n.p.]",[n.d.],"",Photocopy,"","",""
113,24,Manuscript Box,86,203,May 1973,"",1973/05/13-1973/05/27,7085,19730513PE,2,English,"","","","","","","","",""
114,24,Manuscript Box,86,203,May 1973,"",1973/05/13-1973/05/27,7086,19730513PJ,1,Japanese,"","","","","","","","",""
115,24,Manuscript Box,86,203,May 1973,"",1973/05/13-1973/05/27,7087,19730513Y,6,Japanese,"","","","","","","","",""
116,26,Manuscript Box,112,515,July 1973,"",1973/07/15-1973/07/29,8023,19730715NA,14,English,"","","Hironaga Shūzaburō, """"Emotion Rather Than Reason"""" in Mainichi Daily News",24 July 1973,"",Photocopy,"","",""
117,24,Manuscript Box,86,204,July 1973,"",1973/07/15-1973/07/29,7088,19730715PEJ,3,English/Japanese,"","","","","","","","",""
118,24,Manuscript Box,86,204,July 1973,"",1973/07/15-1973/07/29,7089,19730715Y,6,Japanese,"","","","","","","","",""
119,26,Manuscript Box,112,516,September 1973,"",1973/09/09-1973/09/23,8024,19730909AT,19,Japanese,"","",Date stamped,21 Sept. 1973,"","","","",""
120,26,Manuscript Box,112,516,September 1973,"",1973/09/09-1973/09/23,8025,19730909BN,13,English,"","","""""Futago sumidagawa""""",10 Sept. 1973,"",1 page,"","",""
121,26,Manuscript Box,112,516,September 1973,"",1973/09/09-1973/09/23,8026,19730909NA1,14,English,"","","Yamamoto Yuki, """"Bunraku Troupe Offers Chikamatsu Play"""" [n.p.]",[n.d.],"",Photocopy,"","",""
122,26,Manuscript Box,112,516,September 1973,"",1973/09/09-1973/09/23,8027,19730909NA2,14,English,"","","Nagata Kōkichi, """"National Theatre Featuring Memorial Bunraku Plays"""" [n.p.]",[n.d.],"",Photocopy,"","",""
123,24,Manuscript Box,86,205,September 1973,"",1973/09/09-1973/09/23,7090,19730909PE,2,English,"","","","","","","","",""
124,24,Manuscript Box,86,205,September 1973,"",1973/09/09-1973/09/23,7091,19730909PJ,1,Japanese,"","","","","","","","",""
125,24,Manuscript Box,86,205,September 1973,"",1973/09/09-1973/09/23,7092,19730909Y,6,Japanese,"","","","","","","","",""
127,26,Manuscript Box,112,517,October 1973,"",1973/10/07-1973/10/21,8028,19731007NA,14,English,"","","Hironaga Shūzaburō, """"All-Chikamatsu Production"""" [n.p.]",[n.d.],"",Photocopy,"","",""
128,24,Manuscript Box,86,206,October 1973,"",1973/10/07-1973/10/21,7093,19731007PEJ,3,English/Japanese,"","","","","","","","",""
129,24,Manuscript Box,86,206,October 1973,"",1973/10/07-1973/10/21,7094,19731007Y,6,Japanese,"","","","","","","","",""
130,24,Manuscript Box,86,207,November 1973,"",1973/11/11-1973/11/18,7095,19731111-1PE,2,English,"","","","","","","","",""
131,24,Manuscript Box,86,207,November 1973,"",1973/11/11-1973/11/18,7096,19731111-1PJ,1,Japanese,"","","","","","","","",""
132,24,Manuscript Box,86,207,November 1973,"",1973/11/11-1973/11/18,7097,19731111-1Y,6,Japanese,"","","","","","","","",""
135,24,Manuscript Box,86,208,January 1974,"",1974/01/02-1974/01/22,7098,19740102PEJ,3,English/Japanese,"","","","","","","","",""
136,24,Manuscript Box,86,208,January 1974,"",1974/01/02-1974/01/22,7099,19740102Y,6,Japanese,"","","","","","","","",""
137,24,Manuscript Box,86,209,February 1974,"",1974/02/03-1974/02/17,7100,19740203FE,5,English,"","","","","","","","",""
138,26,Manuscript Box,112,518,February 1974,"",1974/02/03-1974/02/17,8029,19740203NA,14,English,"","","Nagata Kōkichi, """"Nat'l Theatre to Show Bunraku Masterpieces"""" [n.p.]",[n.d.],"",Photocopy,"","",""
139,24,Manuscript Box,86,209,February 1974,"",1974/02/03-1974/02/17,7102,19740203PE,2,English,"","","","","","","","",""
140,24,Manuscript Box,86,209,February 1974,"",1974/02/03-1974/02/17,7103,19740203PJ,1,Japanese,"","","","","","","","",""
141,24,Manuscript Box,86,209,February 1974,"",1974/02/03-1974/02/17,7104,19740203Y,6,Japanese,"","","","","","","","",""
142,26,Manuscript Box,112,519,"April 1974, Asahiza, Osaka","",1974/04/07-1974/04/21,8030,19740407NA,14,English,"","","Hironaga Shūzaburō, """"Ehon Taikoki: Bunraku in Osaka"""" [n.p.]",[n.d.],"",Photocopy,"","",""
143,24,Manuscript Box,86,210,"April 1974, Asahiza, Osaka","",1974/04/07-1974/04/21,7105,19740407PEJ,3,English/Japanese,"","","","","","","","",""
144,24,Manuscript Box,86,210,"April 1974, Asahiza, Osaka","",1974/04/07-1974/04/21,7106,19740407Y,6,Japanese,"","","","","","","","",""
145,24,Manuscript Box,86,211,"April 1974, National Theatre, Tokyo","",1974/04/28-1974/05/12,7107,19740428FJ,4,Japanese,1,"","","","","","","",""
146,24,Manuscript Box,86,211,"April 1974, National Theatre, Tokyo","",1974/04/28-1974/05/12,7108,19740428PE,2,English,"","","","","","","","",""
147,24,Manuscript Box,86,211,"April 1974, National Theatre, Tokyo","",1974/04/28-1974/05/12,7109,19740428PJ,1,Japanese,"","","","","","","","",""
148,24,Manuscript Box,86,211,"April 1974, National Theatre, Tokyo","",1974/04/28-1974/05/12,7110,19740428Y,6,Japanese,"","","","","","","","",""
149,24,Manuscript Box,86,212,June 1974,"",1974/06/n.d.-1974/06/n.d.,7111,19740600PJ,1,Japanese,"","","","","","","","",""
150,24,Manuscript Box,86,213,July 1974,"",1974/07/17-1974/07/30,7112,19740717PEJ,3,English/Japanese,"","","","","","","","",""
151,24,Manuscript Box,86,213,July 1974,"",1974/07/17-1974/07/30,7113,19740717Y,6,Japanese,"","","","","","","","",""
152,24,Manuscript Box,86,214,September 1974,"",1974/09/14-1974/09/28,7114,19740914PE,2,English,1,"","","","","","","",""
153,24,Manuscript Box,86,214,September 1974,"",1974/09/14-1974/09/28,7115,19740914PJ,1,Japanese,"","","","","","","","",""
154,24,Manuscript Box,86,214,September 1974,"",1974/09/14-1974/09/28,7116,19740914Y,6,Japanese,"","","","","","","","",""
155,26,Manuscript Box,112,520,October 1974,"",1974/10/13-1974/10/27,8031,19741013NA,14,English,"","","Hironaga Shūzaburō, """"Bunraku at Asahiza: 'Tsubosaka' and 'Tsuri Onna'"""" [n.p.]",[n.d.],"",Photocopy,"","",""
156,24,Manuscript Box,86,215,October 1974,"",1974/10/13-1974/10/27,7117,19741013PEJ,3,English/Japanese,"","","","","","","","",""
157,24,Manuscript Box,86,215,October 1974,"",1974/10/13-1974/10/27,7118,19741013Y,6,Japanese,"","","","","","","","",""
158,26,Manuscript Box,112,521,November 1974,"",1974/11/19-1974/11/27,8032,19741119NA,14,English,"","","Nagata Kōkichi, """"2 Bunraku Dramas Feature Up-and-Coming Performers"""" [n.p.]/ """"Bunraku to Be Offered with Other Stage Arts"""" [n.p.]",[n.d.],"",Photocopy,"","",""
159,24,Manuscript Box,87,216,November 1974,"",1974/11/19-1974/11/27,7119,19741119PE,2,English,"","","","","","","","",""
160,24,Manuscript Box,87,216,November 1974,"",1974/11/19-1974/11/27,7120,19741119PJ,1,Japanese,"","","","","","","","",""
161,24,Manuscript Box,87,216,November 1974,"",1974/11/19-1974/11/27,7121,19741119Y,6,Japanese,"","","","","","","","",""
162,24,Manuscript Box,87,217,January 1975,"",1975/01/02-1975/01/22,7122,19750102PEJ,3,English/Japanese,"","","","","","","","","Program for a play, """"Hannarihan."""""
163,24,Manuscript Box,87,217,January 1975,"",1975/01/02-1975/01/22,7123,19750102Y,6,Japanese,"","","","","","","","",""
164,26,Manuscript Box,112,522,February 1975,"",1975/02/01-1975/02/15,8033,19750201NA,14,English,"","","Roger Pulvers, """"Ambitious Show at National Theatre"""" [n.p.]",[n.d.],"",Photocopy,"","",""
165,24,Manuscript Box,87,218,February 1975,"",1975/02/01-1975/02/15,7124,19750201PE,2,English,"","","","","","","","",""
166,24,Manuscript Box,87,218,February 1975,"",1975/02/01-1975/02/15,7125,19750201PJ,1,Japanese,"","","","","","","","",""
167,24,Manuscript Box,87,218,February 1975,"",1975/02/01-1975/02/15,7126,19750201Y,6,Japanese,"","","","","","","","",""
168,26,Manuscript Box,112,523,April 1975,"",1975/04/18-1975/05/01,8034,19750418NA,14,English,"","","Hironaga Shūzaburō, """"Bunraku Puppet Show in Osaka"""" in Mainichi Daily News",30 April 1975,"",Photocopy,"","",""
169,24,Manuscript Box,87,219,April 1975,"",1975/04/18-1975/05/01,7127,19750418PEJ,3,English/Japanese,"","","","","","","","",""
170,24,Manuscript Box,87,219,April 1975,"",1975/04/18-1975/05/01,7128,19750418Y,6,Japanese,"","","","","","","","",""
171,26,Manuscript Box,112,524,May 1975,"",1975/05/10-1975/05/24,8035,19750510NA,14,English,"","","Nagata Kōkichi, """"Popular Bunraku Classics Featured at National Theatre"""" [n.p.]",[n.d.],"",Photocopy,"","",""
172,24,Manuscript Box,87,220,May 1975,"",1975/05/10-1975/05/24,7129,19750510PE,2,English,"","","","","","","","",""
173,24,Manuscript Box,87,220,May 1975,"",1975/05/10-1975/05/24,7130,19750510PJ,1,Japanese,"","","","","","","","",""
174,24,Manuscript Box,87,220,May 1975,"",1975/05/10-1975/05/24,7131,19750510Y,6,Japanese,"","","","","","","","",1 performance poster
176,24,Manuscript Box,87,221,July 1975,"",1975/07/13-1975/07/27,7132,19750713PEJ,3,English/Japanese,"","","","","","","","",""
177,24,Manuscript Box,87,221,July 1975,"",1975/07/13-1975/07/27,7133,19750713Y,6,Japanese,"","","","","","","","",""
178,24,Manuscript Box,87,222,September 1975,"",1975/09/13-1975/09/27,7134,19750913FJ,4,Japanese,"","","","","","","","",""
179,24,Manuscript Box,87,222,September 1975,"",1975/09/13-1975/09/27,7135,19750913PE,2,English,"","","","","","","","",""
180,24,Manuscript Box,87,222,September 1975,"",1975/09/13-1975/09/27,7136,19750913PJ,1,Japanese,"","","","","","","","",""
181,24,Manuscript Box,87,222,September 1975,"",1975/09/13-1975/09/27,7137,19750913Y,6,Japanese,"","","","","","","","",""
183,24,Manuscript Box,87,223,October 1975,"",1975/10/12-1975/10/26,7138,19751012PEJ,3,English/Japanese,"","","","","","","","",""
184,24,Manuscript Box,87,223,October 1975,"",1975/10/12-1975/10/26,7139,19751012Y,6,Japanese,"","","","","","","","",""
185,26,Manuscript Box,112,525,December 1975,"",1975/12/13-1975/12/21,8036,19751213NA1,14,English,"","","Nagata Kōkichi, """"Middle-Ranking Bunraku Performers Stage 'Nijushiko' at National Theatre"""" [n.p.]",[n.d.],"",Photocopy,"","",""
186,26,Manuscript Box,112,525,December 1975,"",1975/12/13-1975/12/21,8037,19751213NA2,14,English,"","","Roger Pulvers, """"Bunraku at National Theater: Nijushiko, A Brilliant Performance"""" [n.p.]",[n.d.],"",Photocopy,"","",""
187,24,Manuscript Box,87,224,December 1975,"",1975/12/13-1975/12/21,7140,19751213PE,2,English,"","","","","","","","",""
188,24,Manuscript Box,87,224,December 1975,"",1975/12/13-1975/12/21,7141,19751213PJ,1,Japanese,"","","","","","","","",""
189,24,Manuscript Box,87,224,December 1975,"",1975/12/13-1975/12/21,7142,19751213Y,6,Japanese,"","","","","","","","",""
191,26,Manuscript Box,112,526,January 1976,"",1976/01/02-1976/01/25,8038,19760102NA,14,English,"","","Hironaga Shūzaburō, """"Bunraku Puppet Show in Osaka"""" [n.p.]",[n.d.],"",Photocopy,"","",""
192,24,Manuscript Box,87,225,January 1976,"",1976/01/02-1976/01/25,7143,19760102PEJ,3,English/Japanese,"","","","","","","","","Flyer for a play """"Osomehan"""""
193,26,Manuscript Box,112,527,March 1976,"",1976/03/19-1976/03/28,8039,19760319BN1,13,English,"","",March 1976 performances,"","",8 pages,"","",""
194,26,Manuscript Box,112,527,March 1976,"",1976/03/19-1976/03/28,8040,19760319BN2,13,English,"","","Bunraku performance terms, phone numbers","","",1 page,"","",""
195,26,Manuscript Box,112,527,March 1976,"",1976/03/19-1976/03/28,8041,19760319BNA,22,English,"","","Barbara C. Adachi, """"Golden Age of bunraku Relived"""" in Mainichi Daily News",23 March 1976,"See also Series 8.2.3, Newspaper Reviews on Bunraku Performances (Box 126, Folder 781) for other Adachi's reviews, and Series 8.4, Research Notes: """"Sonezaki Shinju"""".",Photocopy,"","",""
196,26,Manuscript Box,112,527,March 1976,"",1976/03/19-1976/03/28,8042,19760319NA,14,English,"","","Nagata Kōkichi, """"National Theatre Shows Top Cream of Bunraku"""" in Asahi Evening News",[n.d.],"",Photocopy,"","",""
197,24,Manuscript Box,87,226,March 1976,"",1976/03/19-1976/03/28,7145,19760319NPC,26,English,"","","","","","","","",""
198,24,Manuscript Box,87,226,March 1976,"",1976/03/19-1976/03/28,7147,19760319PJ,1,Japanese,"","","","","","","","",""
199,24,Manuscript Box,87,226,March 1976,"",1976/03/19-1976/03/28,7148,19760319Y,6,Japanese,"","","","","","","","",""
200,24,Manuscript Box,87,227,April 1976,"",1976/04/15-1976/04/29,7151,19760415Y,6,Japanese,"","","","","","","","",""
201,24,Manuscript Box,87,227,April 1976,"",1976/04/15-1976/04/29,7150,19760415PEJ,3,English/Japanese,"","","","","","","","",""
